timestamp,supply_air_temp_setpoint_c,outdoor_air_temp_c,return_air_temp_c,fan_command_pct,most_open_vav_damper_pct,minimum_outdoor_air_damper_pct,supply_air_temp_c
0,16.0,23.464,21.586,40.0,52.500,15.0,16.200
60,16.0,23.449,21.580,40.0,52.406,15.0,16.210
120,16.0,23.434,21.573,40.0,52.312,15.0,16.221
180,16.0,23.418,21.567,40.0,52.218,15.0,16.231
240,16.0,23.403,21.561,40.0,52.124,15.0,16.242
300,16.0,23.388,21.555,40.0,52.031,15.0,16.252
360,16.0,23.373,21.549,40.0,51.938,15.0,16.262
420,16.0,23.358,21.543,40.0,51.845,15.0,16.272
480,16.0,23.343,21.537,40.0,51.752,15.0,16.283
540,16.0,23.328,21.531,40.0,51.660,15.0,16.293
600,16.0,23.314,21.525,40.0,51.568,15.0,16.302
660,16.0,23.299,21.520,40.0,51.476,15.0,16.312
720,16.0,23.284,21.514,40.0,51.384,15.0,16.322
780,16.0,23.270,21.508,40.0,51.293,15.0,16.331
840,16.0,23.255,21.502,40.0,51.202,15.0,16.340
900,16.0,23.241,21.496,40.0,51.111,15.0,16.350
960,16.0,23.226,21.491,40.0,51.020,15.0,16.358
1020,16.0,23.212,21.485,40.0,50.930,15.0,16.367
1080,16.0,23.198,21.479,40.0,50.840,15.0,16.376
1140,16.0,23.184,21.474,40.0,50.750,15.0,16.384
1200,16.0,23.170,21.468,40.0,50.661,15.0,16.392
1260,16.0,23.156,21.462,40.0,50.571,15.0,16.400
1320,16.0,23.142,21.457,40.0,50.482,15.0,16.407
1380,16.0,23.128,21.451,40.0,50.394,15.0,16.415
1440,16.0,23.114,21.446,40.0,50.305,15.0,16.422
1500,16.0,23.101,21.440,40.0,50.217,15.0,16.429
1560,16.0,23.087,21.435,40.0,50.129,15.0,16.435
1620,16.0,23.073,21.429,40.0,50.042,15.0,16.441
1680,16.0,23.060,21.424,40.0,49.955,15.0,16.447
1740,16.0,23.047,21.419,40.0,49.868,15.0,16.453
1800,16.0,23.033,21.413,40.0,49.781,15.0,16.458
1860,16.0,23.020,21.408,40.0,49.695,15.0,16.463
1920,16.0,23.007,21.403,40.0,49.608,15.0,16.468
1980,16.0,22.994,21.397,40.0,49.523,15.0,16.472
2040,16.0,22.981,21.392,40.0,49.437,15.0,16.476
2100,16.0,22.968,21.387,40.0,49.352,15.0,16.480
2160,16.0,22.955,21.382,40.0,49.267,15.0,16.483
2220,16.0,22.942,21.377,40.0,49.182,15.0,16.486
2280,16.0,22.929,21.372,40.0,49.098,15.0,16.488
2340,16.0,22.917,21.367,40.0,49.014,15.0,16.491
2400,16.0,22.904,21.362,40.0,48.930,15.0,16.492
2460,16.0,22.892,21.357,40.0,48.847,15.0,16.494
2520,16.0,22.879,21.352,40.0,48.764,15.0,16.495
2580,16.0,22.867,21.347,40.0,48.681,15.0,16.496
2640,16.0,22.855,21.342,40.0,48.599,15.0,16.496
2700,16.0,22.843,21.337,40.0,48.516,15.0,16.496
2760,16.0,22.831,21.332,40.0,48.434,15.0,16.496
2820,16.0,22.819,21.327,40.0,48.353,15.0,16.495
2880,16.0,22.807,21.323,40.0,48.272,15.0,16.494
2940,16.0,22.795,21.318,40.0,48.191,15.0,16.493
3000,16.0,22.783,21.313,40.0,48.110,15.0,16.491
3060,16.0,22.771,21.309,40.0,48.030,15.0,16.489
3120,16.0,22.760,21.304,40.0,47.950,15.0,16.486
3180,16.0,22.748,21.299,40.0,47.870,15.0,16.483
3240,16.0,22.737,21.295,40.0,47.791,15.0,16.480
3300,16.0,22.725,21.290,40.0,47.712,15.0,16.476
3360,16.0,22.714,21.286,40.0,47.634,15.0,16.472
3420,16.0,22.703,21.281,40.0,47.555,15.0,16.468
3480,16.0,22.692,21.277,40.0,47.477,15.0,16.463
3540,16.0,22.681,21.272,40.0,47.400,15.0,16.458
3600,16.0,22.670,21.268,40.0,47.322,15.0,16.453
3660,16.0,22.659,21.264,40.0,47.245,15.0,16.447
3720,16.0,22.648,21.259,40.0,47.169,15.0,16.441
3780,16.0,22.638,21.255,40.0,47.092,15.0,16.435
3840,16.0,22.627,21.251,40.0,47.017,15.0,16.429
3900,16.0,22.616,21.247,40.0,46.941,15.0,16.422
3960,16.0,22.606,21.242,40.0,46.866,15.0,16.415
4020,16.0,22.596,21.238,40.0,46.791,15.0,16.407
4080,16.0,22.585,21.234,40.0,46.716,15.0,16.400
4140,16.0,22.575,21.230,40.0,46.642,15.0,16.392
4200,16.0,22.565,21.226,40.0,46.568,15.0,16.384
4260,16.0,22.555,21.222,40.0,46.495,15.0,16.375
4320,16.0,22.545,21.218,40.0,46.421,15.0,16.367
4380,16.0,22.535,21.214,40.0,46.349,15.0,16.358
4440,16.0,22.525,21.210,40.0,46.276,15.0,16.349
4500,16.0,22.516,21.206,40.0,46.204,15.0,16.339
4560,16.0,22.506,21.202,40.0,46.132,15.0,16.330
4620,16.0,22.497,21.199,40.0,46.061,15.0,16.320
4680,16.0,22.487,21.195,40.0,45.990,15.0,16.311
4740,16.0,22.478,21.191,40.0,45.919,15.0,16.301
4800,16.0,22.468,21.187,40.0,45.849,15.0,16.291
4860,16.0,22.459,21.184,40.0,45.779,15.0,16.280
4920,16.0,22.450,21.180,40.0,45.709,15.0,16.270
4980,16.0,22.441,21.176,40.0,45.640,15.0,16.260
5040,16.0,22.432,21.173,40.0,45.571,15.0,16.249
5100,16.0,22.423,21.169,40.0,45.503,15.0,16.238
5160,16.0,22.415,21.166,40.0,45.435,15.0,16.228
5220,16.0,22.406,21.162,40.0,45.367,15.0,16.217
5280,16.0,22.397,21.159,40.0,45.300,15.0,16.206
5340,16.0,22.389,21.156,40.0,45.233,15.0,16.196
5400,16.0,22.381,21.152,40.0,45.166,15.0,16.185
5460,16.0,22.372,21.149,40.0,45.100,15.0,16.174
5520,16.0,22.364,21.146,40.0,45.034,15.0,16.163
5580,16.0,22.356,21.142,40.0,44.969,15.0,16.152
5640,16.0,22.348,21.139,40.0,44.904,15.0,16.142
5700,16.0,22.340,21.136,40.0,44.839,15.0,16.131
5760,16.0,22.332,21.133,40.0,44.775,15.0,16.120
5820,16.0,22.324,21.130,40.0,44.711,15.0,16.110
5880,16.0,22.317,21.127,40.0,44.647,15.0,16.099
5940,16.0,22.309,21.124,40.0,44.584,15.0,16.089
6000,16.0,22.302,21.121,40.0,44.521,15.0,16.079
6060,16.0,22.294,21.118,40.0,44.459,15.0,16.069
6120,16.0,22.287,21.115,40.0,44.397,15.0,16.058
6180,16.0,22.280,21.112,40.0,44.335,15.0,16.049
6240,16.0,22.272,21.109,40.0,44.274,15.0,16.039
6300,16.0,22.265,21.106,40.0,44.213,15.0,16.029
6360,16.0,22.258,21.103,40.0,44.153,15.0,16.020
6420,16.0,22.252,21.101,40.0,44.093,15.0,16.011
6480,16.0,22.245,21.098,40.0,44.033,15.0,16.002
6540,16.0,22.238,21.095,40.0,43.974,15.0,15.993
6600,16.0,22.231,21.093,40.0,43.915,15.0,15.985
6660,16.0,22.225,21.090,40.0,43.857,15.0,15.976
6720,16.0,22.218,21.087,40.0,43.799,15.0,15.968
6780,16.0,22.212,21.085,40.0,43.741,15.0,15.960
6840,16.0,22.206,21.082,40.0,43.684,15.0,15.953
6900,16.0,22.200,21.080,40.0,43.627,15.0,15.946
6960,16.0,22.194,21.077,40.0,43.571,15.0,15.939
7020,16.0,22.188,21.075,40.0,43.515,15.0,15.932
7080,16.0,22.182,21.073,40.0,43.459,15.0,15.925
7140,16.0,22.176,21.070,40.0,43.404,15.0,15.919
7200,16.0,22.170,21.068,40.0,43.349,15.0,15.913
7260,16.0,22.165,21.066,40.0,43.295,15.0,15.908
7320,16.0,22.159,21.064,40.0,43.241,15.0,15.903
7380,16.0,22.154,21.062,40.0,43.188,15.0,15.898
7440,16.0,22.149,21.059,40.0,43.135,15.0,15.893
7500,16.0,22.143,21.057,40.0,43.082,15.0,15.889
7560,16.0,22.138,21.055,40.0,43.030,15.0,15.885
7620,16.0,22.133,21.053,40.0,42.978,15.0,15.882
7680,16.0,22.128,21.051,40.0,42.926,15.0,15.879
7740,16.0,22.123,21.049,40.0,42.875,15.0,15.876
7800,16.0,22.119,21.047,40.0,42.825,15.0,15.873
7860,16.0,22.114,21.046,40.0,42.775,15.0,15.871
7920,16.0,22.109,21.044,40.0,42.725,15.0,15.869
7980,16.0,22.105,21.042,40.0,42.676,15.0,15.868
8040,16.0,22.100,21.040,40.0,42.627,15.0,15.867
8100,16.0,22.096,21.038,40.0,42.578,15.0,15.866
8160,16.0,22.092,21.037,40.0,42.530,15.0,15.866
8220,16.0,22.088,21.035,40.0,42.483,15.0,15.866
8280,16.0,22.084,21.033,40.0,42.435,15.0,15.866
8340,16.0,22.080,21.032,40.0,42.389,15.0,15.867
8400,16.0,22.076,21.030,40.0,42.342,15.0,15.868
8460,16.0,22.072,21.029,40.0,42.296,15.0,15.870
8520,16.0,22.069,21.027,40.0,42.251,15.0,15.872
8580,16.0,22.065,21.026,40.0,42.206,15.0,15.874
8640,16.0,22.062,21.025,40.0,42.161,15.0,15.876
8700,16.0,22.058,21.023,40.0,42.117,15.0,15.879
8760,16.0,22.055,21.022,40.0,42.073,15.0,15.883
8820,16.0,22.052,21.021,40.0,42.030,15.0,15.886
8880,16.0,22.049,21.019,40.0,41.987,15.0,15.890
8940,16.0,22.046,21.018,40.0,41.945,15.0,15.894
9000,16.0,22.043,21.017,40.0,41.903,15.0,15.899
9060,16.0,22.040,21.016,40.0,41.861,15.0,15.904
9120,16.0,22.037,21.015,40.0,41.820,15.0,15.909
9180,16.0,22.035,21.014,40.0,41.780,15.0,15.914
9240,16.0,22.032,21.013,40.0,41.740,15.0,15.920
9300,16.0,22.030,21.012,40.0,41.700,15.0,15.926
9360,16.0,22.027,21.011,40.0,41.660,15.0,15.932
9420,16.0,22.025,21.010,40.0,41.622,15.0,15.939
9480,16.0,22.023,21.009,40.0,41.583,15.0,15.946
9540,16.0,22.021,21.008,40.0,41.545,15.0,15.953
9600,16.0,22.019,21.008,40.0,41.508,15.0,15.960
9660,16.0,22.017,21.007,40.0,41.471,15.0,15.968
9720,16.0,22.015,21.006,40.0,41.434,15.0,15.976
9780,16.0,22.014,21.005,40.0,41.398,15.0,15.984
9840,16.0,22.012,21.005,40.0,41.362,15.0,15.992
9900,16.0,22.011,21.004,40.0,41.327,15.0,16.000
9960,16.0,22.009,21.004,40.0,41.292,15.0,16.009
10020,16.0,22.008,21.003,40.0,41.258,15.0,16.018
10080,16.0,22.007,21.003,40.0,41.224,15.0,16.027
10140,16.0,22.006,21.002,40.0,41.190,15.0,16.036
10200,16.0,22.005,21.002,40.0,41.157,15.0,16.045
10260,16.0,22.004,21.002,40.0,41.125,15.0,16.054
10320,16.0,22.003,21.001,40.0,41.092,15.0,16.064
10380,16.0,22.002,21.001,40.0,41.061,15.0,16.073
10440,16.0,22.002,21.001,40.0,41.030,15.0,16.083
10500,16.0,22.001,21.000,40.0,40.999,15.0,16.092
10560,16.0,22.001,21.000,40.0,40.968,15.0,16.102
10620,16.0,22.000,21.000,40.0,40.939,15.0,16.112
10680,16.0,22.000,21.000,40.0,40.909,15.0,16.122
10740,16.0,22.000,21.000,40.0,40.880,15.0,16.132
10800,16.0,22.000,21.000,40.0,40.852,15.0,16.141
10860,16.0,22.000,21.000,40.0,40.824,15.0,16.151
10920,16.0,22.000,21.000,40.0,40.796,15.0,16.161
10980,16.0,22.000,21.000,40.0,40.769,15.0,16.171
11040,16.0,22.001,21.000,40.0,40.743,15.0,16.181
11100,16.0,22.001,21.000,40.0,40.716,15.0,16.190
11160,16.0,22.002,21.001,40.0,40.691,15.0,16.200
11220,16.0,22.002,21.001,40.0,40.666,15.0,16.210
11280,16.0,22.003,21.001,40.0,40.641,15.0,16.219
11340,16.0,22.004,21.002,40.0,40.616,15.0,16.228
11400,16.0,22.005,21.002,40.0,40.593,15.0,16.238
11460,16.0,22.006,21.002,40.0,40.569,15.0,16.247
11520,16.0,22.007,21.003,40.0,40.546,15.0,16.256
11580,16.0,22.008,21.003,40.0,40.524,15.0,16.265
11640,16.0,22.009,21.004,40.0,40.502,15.0,16.273
11700,16.0,22.011,21.004,40.0,40.480,15.0,16.282
11760,16.0,22.012,21.005,40.0,40.459,15.0,16.290
11820,16.0,22.014,21.005,40.0,40.439,15.0,16.298
11880,16.0,22.015,21.006,40.0,40.419,15.0,16.306
11940,16.0,22.017,21.007,40.0,40.399,15.0,16.314
12000,16.0,22.019,21.008,40.0,40.380,15.0,16.321
12060,16.0,22.021,21.008,40.0,40.361,15.0,16.329
12120,16.0,22.023,21.009,40.0,40.343,15.0,16.336
12180,16.0,22.025,21.010,40.0,40.325,15.0,16.342
12240,16.0,22.027,21.011,40.0,40.308,15.0,16.349
12300,16.0,22.030,21.012,40.0,40.291,15.0,16.355
12360,16.0,22.032,21.013,40.0,40.275,15.0,16.361
12420,16.0,22.035,21.014,40.0,40.259,15.0,16.367
12480,16.0,22.037,21.015,40.0,40.243,15.0,16.372
12540,16.0,22.040,21.016,40.0,40.228,15.0,16.377
12600,16.0,22.043,21.017,40.0,40.214,15.0,16.382
12660,16.0,22.046,21.018,40.0,40.200,15.0,16.386
12720,16.0,22.049,21.019,40.0,40.186,15.0,16.390
12780,16.0,22.052,21.021,40.0,40.173,15.0,16.394
12840,16.0,22.055,21.022,40.0,40.161,15.0,16.397
12900,16.0,22.058,21.023,40.0,40.149,15.0,16.400
12960,16.0,22.062,21.025,40.0,40.137,15.0,16.403
13020,16.0,22.065,21.026,40.0,40.126,15.0,16.405
13080,16.0,22.069,21.027,40.0,40.115,15.0,16.407
13140,16.0,22.072,21.029,40.0,40.105,15.0,16.409
13200,16.0,22.076,21.030,40.0,40.095,15.0,16.410
13260,16.0,22.080,21.032,40.0,40.086,15.0,16.411
13320,16.0,22.084,21.033,40.0,40.077,15.0,16.412
13380,16.0,22.088,21.035,40.0,40.069,15.0,16.412
13440,16.0,22.092,21.037,40.0,40.061,15.0,16.412
13500,16.0,22.096,21.038,40.0,40.054,15.0,16.411
13560,16.0,22.100,21.040,40.0,40.047,15.0,16.410
13620,16.0,22.105,21.042,40.0,40.040,15.0,16.409
13680,16.0,22.109,21.044,40.0,40.034,15.0,16.407
13740,16.0,22.114,21.046,40.0,40.029,15.0,16.405
13800,16.0,22.119,21.047,40.0,40.024,15.0,16.403
