timestamp,zone_temp_c,heating_setpoint_c,cooling_setpoint_c,supply_air_temp_c,supply_duct_static_pressure_pa,supply_airflow_m3_s
0,21.6,18.0,28.0,16.0,200.0,0.039424
60,21.5932,18.0,28.0,16.0,200.0,0.039308
120,21.5864,18.0,28.0,16.0,200.0,0.039555
180,21.5797,18.0,28.0,16.0,200.0,0.042808
240,21.5729,18.0,28.0,16.0,200.0,0.03949
300,21.5662,18.0,28.0,16.0,200.0,0.034011
360,21.5595,18.0,28.0,16.0,200.0,0.041329
420,21.5528,18.0,28.0,16.0,200.0,0.038931
480,21.5461,18.0,28.0,16.0,200.0,0.039132
540,21.5395,18.0,28.0,16.0,200.0,0.040464
600,21.5329,18.0,28.0,16.0,200.0,0.040929
660,21.5262,18.0,28.0,16.0,200.0,0.044654
720,21.5196,18.0,28.0,16.0,200.0,0.042627
780,21.5131,18.0,28.0,16.0,200.0,0.040442
840,21.5065,18.0,28.0,16.0,200.0,0.037047
900,21.5,18.0,28.0,16.0,200.0,0.035941
960,21.4935,18.0,28.0,16.0,200.0,0.040985
1020,21.487,18.0,28.0,16.0,200.0,0.045244
1080,21.4805,18.0,28.0,16.0,200.0,0.040167
1140,21.474,18.0,28.0,16.0,200.0,0.039575
1200,21.4676,18.0,28.0,16.0,200.0,0.042127
1260,21.4611,18.0,28.0,16.0,200.0,0.034186
1320,21.4547,18.0,28.0,16.0,200.0,0.038751
1380,21.4484,18.0,28.0,16.0,200.0,0.041961
1440,21.442,18.0,28.0,16.0,200.0,0.043494
1500,21.4356,18.0,28.0,16.0,200.0,0.039037
1560,21.4293,18.0,28.0,16.0,200.0,0.041506
1620,21.423,18.0,28.0,16.0,200.0,0.040993
1680,21.4167,18.0,28.0,16.0,200.0,0.043129
1740,21.4105,18.0,28.0,16.0,200.0,0.035547
1800,21.4042,18.0,28.0,16.0,200.0,0.042273
1860,21.398,18.0,28.0,16.0,200.0,0.033942
1920,21.3918,18.0,28.0,16.0,200.0,0.02952
1980,21.3856,18.0,28.0,16.0,200.0,0.037572
2040,21.3795,18.0,28.0,16.0,200.0,0.036337
2100,21.3733,18.0,28.0,16.0,200.0,0.043504
2160,21.3672,18.0,28.0,16.0,200.0,0.042657
2220,21.3611,18.0,28.0,16.0,200.0,0.035124
2280,21.3551,18.0,28.0,16.0,200.0,0.043389
2340,21.349,18.0,28.0,16.0,200.0,0.035991
2400,21.343,18.0,28.0,16.0,200.0,0.039655
2460,21.337,18.0,28.0,16.0,200.0,0.038824
2520,21.331,18.0,28.0,16.0,200.0,0.040458
2580,21.325,18.0,28.0,16.0,200.0,0.043275
2640,21.3191,18.0,28.0,16.0,200.0,0.042554
2700,21.3132,18.0,28.0,16.0,200.0,0.0414
2760,21.3073,18.0,28.0,16.0,200.0,0.0426
2820,21.3014,18.0,28.0,16.0,200.0,0.041914
2880,21.2956,18.0,28.0,16.0,200.0,0.037492
2940,21.2897,18.0,28.0,16.0,200.0,0.037131
3000,21.2839,18.0,28.0,16.0,200.0,0.03812
3060,21.2782,18.0,28.0,16.0,200.0,0.041997
3120,21.2724,18.0,28.0,16.0,200.0,0.039
3180,21.2667,18.0,28.0,16.0,200.0,0.049343
3240,21.261,18.0,28.0,16.0,200.0,0.036723
3300,21.2553,18.0,28.0,16.0,200.0,0.035605
3360,21.2496,18.0,28.0,16.0,200.0,0.043074
3420,21.244,18.0,28.0,16.0,200.0,0.045687
3480,21.2384,18.0,28.0,16.0,200.0,0.042023
3540,21.2328,18.0,28.0,16.0,200.0,0.043343
3600,21.2272,18.0,28.0,16.0,200.0,0.045705
3660,21.2217,18.0,28.0,16.0,200.0,0.039624
3720,21.2161,18.0,28.0,16.0,200.0,0.034308
3780,21.2107,18.0,28.0,16.0,200.0,0.037872
3840,21.2052,18.0,28.0,16.0,200.0,0.043812
3900,21.1997,18.0,28.0,16.0,200.0,0.034225
3960,21.1943,18.0,28.0,16.0,200.0,0.040134
4020,21.1889,18.0,28.0,16.0,200.0,0.041013
4080,21.1836,18.0,28.0,16.0,200.0,0.038738
4140,21.1782,18.0,28.0,16.0,200.0,0.042895
4200,21.1729,18.0,28.0,16.0,200.0,0.042323
4260,21.1676,18.0,28.0,16.0,200.0,0.049286
4320,21.1623,18.0,28.0,16.0,200.0,0.04248
4380,21.1571,18.0,28.0,16.0,200.0,0.037562
4440,21.1519,18.0,28.0,16.0,200.0,0.037753
4500,21.1467,18.0,28.0,16.0,200.0,0.036674
4560,21.1415,18.0,28.0,16.0,200.0,0.043809
4620,21.1364,18.0,28.0,16.0,200.0,0.037733
4680,21.1313,18.0,28.0,16.0,200.0,0.039719
4740,21.1262,18.0,28.0,16.0,200.0,0.042997
4800,21.1211,18.0,28.0,16.0,200.0,0.037106
4860,21.1161,18.0,28.0,16.0,200.0,0.038825
4920,21.1111,18.0,28.0,16.0,200.0,0.032635
4980,21.1061,18.0,28.0,16.0,200.0,0.03567
5040,21.1011,18.0,28.0,16.0,200.0,0.037729
5100,21.0962,18.0,28.0,16.0,200.0,0.041663
5160,21.0913,18.0,28.0,16.0,200.0,0.044774
5220,21.0864,18.0,28.0,16.0,200.0,0.039926
5280,21.0816,18.0,28.0,16.0,200.0,0.041045
5340,21.0768,18.0,28.0,16.0,200.0,0.040672
5400,21.072,18.0,28.0,16.0,200.0,0.044339
5460,21.0672,18.0,28.0,16.0,200.0,0.043573
5520,21.0625,18.0,28.0,16.0,200.0,0.041095
5580,21.0577,18.0,28.0,16.0,200.0,0.035956
5640,21.0531,18.0,28.0,16.0,200.0,0.043614
5700,21.0484,18.0,28.0,16.0,200.0,0.041524
5760,21.0438,18.0,28.0,16.0,200.0,0.044908
5820,21.0392,18.0,28.0,16.0,200.0,0.03988
