timestamp,outdoor_temp_c,people_heat_gain_w,lighting_heat_gain_w,equipment_heat_gain_w,discharge_air_temp_c,supply_airflow_m3_s,zone_temp_c
0,23.4645,150.0,150.0,200.0,16.0,0.24,22.9782
60,23.4491,150.0,150.0,200.0,16.0,0.2379,22.9601
120,23.4337,150.0,150.0,200.0,16.0,0.235833,22.945
180,23.4185,150.0,150.0,200.0,16.0,0.233799,22.9527
240,23.4033,150.0,150.0,200.0,16.0,0.231796,22.9114
300,23.3882,150.0,150.0,200.0,16.0,0.229825,22.8541
360,23.3731,150.0,150.0,200.0,16.0,0.227884,22.8931
420,23.3581,150.0,150.0,200.0,16.0,0.225974,22.8594
480,23.3432,150.0,150.0,200.0,16.0,0.224093,22.8455
540,23.3284,150.0,150.0,200.0,16.0,0.22224,22.8403
600,23.3136,150.0,150.0,200.0,16.0,0.220416,22.8288
660,23.2989,150.0,150.0,200.0,16.0,0.218619,22.842
720,23.2843,150.0,150.0,200.0,16.0,0.21685,22.8123
780,23.2697,150.0,150.0,200.0,16.0,0.215107,22.7816
840,23.2552,150.0,150.0,200.0,16.0,0.21339,22.742
900,23.2408,150.0,150.0,200.0,16.0,0.211698,22.7198
960,23.2265,150.0,150.0,200.0,16.0,0.210032,22.744
1020,23.2122,150.0,150.0,200.0,16.0,0.20839,22.7624
1080,23.198,150.0,150.0,200.0,16.0,0.206773,22.7111
1140,23.1838,150.0,150.0,200.0,16.0,0.205179,22.6935
1200,23.1698,150.0,150.0,200.0,16.0,0.203608,22.6998
1260,23.1558,150.0,150.0,200.0,16.0,0.20206,22.6275
1320,23.1419,150.0,150.0,200.0,16.0,0.200534,22.6492
1380,23.128,150.0,150.0,200.0,16.0,0.19903,22.6609
1440,23.1143,150.0,150.0,200.0,16.0,0.197548,22.6603
1500,23.1006,150.0,150.0,200.0,16.0,0.196086,22.6148
1560,23.087,150.0,150.0,200.0,16.0,0.194646,22.6215
1620,23.0734,150.0,150.0,200.0,16.0,0.193226,22.606
1680,23.0599,150.0,150.0,200.0,16.0,0.191825,22.6105
1740,23.0466,150.0,150.0,200.0,16.0,0.190445,22.5423
1800,23.0332,150.0,150.0,200.0,16.0,0.189083,22.5816
1860,23.02,150.0,150.0,200.0,16.0,0.18774,22.508
1920,23.0068,150.0,150.0,200.0,16.0,0.186416,22.464
1980,22.9937,150.0,150.0,200.0,16.0,0.185111,22.5136
2040,22.9807,150.0,150.0,200.0,16.0,0.183823,22.4938
2100,22.9678,150.0,150.0,200.0,16.0,0.182552,22.5371
2160,22.9549,150.0,150.0,200.0,16.0,0.181299,22.5205
2220,22.9421,150.0,150.0,200.0,16.0,0.180063,22.4538
2280,22.9294,150.0,150.0,200.0,16.0,0.18,22.5057
2340,22.9168,150.0,150.0,200.0,16.0,0.18,22.4401
2400,22.9042,150.0,150.0,200.0,16.0,0.18,22.4574
2460,22.8918,150.0,150.0,200.0,16.0,0.18,22.4411
2520,22.8794,150.0,150.0,200.0,16.0,0.18,22.4434
2580,22.8671,150.0,150.0,200.0,16.0,0.18,22.4545
2640,22.8548,150.0,150.0,200.0,16.0,0.18,22.439
2700,22.8427,150.0,150.0,200.0,16.0,0.18,22.4204
2760,22.8306,150.0,150.0,200.0,16.0,0.18,22.4195
2820,22.8186,150.0,150.0,200.0,16.0,0.18,22.4044
2880,22.8066,150.0,150.0,200.0,16.0,0.18,22.3613
2940,22.7948,150.0,150.0,200.0,16.0,0.18,22.3487
3000,22.783,150.0,150.0,200.0,16.0,0.18,22.3463
3060,22.7714,150.0,150.0,200.0,16.0,0.18,22.3655
3120,22.7598,150.0,150.0,200.0,16.0,0.18,22.3332
3180,22.7482,150.0,150.0,200.0,16.0,0.18,22.401
3240,22.7368,150.0,150.0,200.0,16.0,0.18,22.2965
3300,22.7254,150.0,150.0,200.0,16.0,0.18,22.2784
3360,22.7142,150.0,150.0,200.0,16.0,0.18,22.3247
3420,22.703,150.0,150.0,200.0,16.0,0.18,22.3346
3480,22.6919,150.0,150.0,200.0,16.0,0.18,22.2974
3540,22.6808,150.0,150.0,200.0,16.0,0.18,22.2976
3600,22.6699,150.0,150.0,200.0,16.0,0.18,22.3057
3660,22.659,150.0,150.0,200.0,16.0,0.18,22.2505
3720,22.6482,150.0,150.0,200.0,16.0,0.18,22.201
3780,22.6375,150.0,150.0,200.0,16.0,0.18,22.2182
3840,22.6269,150.0,150.0,200.0,16.0,0.18,22.2532
3900,22.6164,150.0,150.0,200.0,16.0,0.18,22.1717
3960,22.6059,150.0,150.0,200.0,16.0,0.18,22.2066
4020,22.5955,150.0,150.0,200.0,16.0,0.18,22.2037
4080,22.5853,150.0,150.0,200.0,16.0,0.18,22.1772
4140,22.5751,150.0,150.0,200.0,16.0,0.18,22.1989
4200,22.5649,150.0,150.0,200.0,16.0,0.18,22.1852
4260,22.5549,150.0,150.0,200.0,16.0,0.18,22.228
4320,22.545,150.0,150.0,200.0,16.0,0.18,22.1676
4380,22.5351,150.0,150.0,200.0,16.0,0.18,22.1214
4440,22.5253,150.0,150.0,200.0,16.0,0.18,22.1135
4500,22.5156,150.0,150.0,200.0,16.0,0.18,22.0961
4560,22.506,150.0,150.0,200.0,16.0,0.18,22.1404
4620,22.4965,150.0,150.0,200.0,16.0,0.18,22.0856
4680,22.4871,150.0,150.0,200.0,16.0,0.18,22.0912
4740,22.4777,150.0,150.0,200.0,16.0,0.18,22.1066
4800,22.4685,150.0,150.0,200.0,16.0,0.18,22.0533
4860,22.4593,150.0,150.0,200.0,16.0,0.18,22.057
4920,22.4502,150.0,150.0,200.0,16.0,0.18,22.0015
4980,22.4412,150.0,150.0,200.0,16.0,0.18,22.0151
5040,22.4323,150.0,150.0,200.0,16.0,0.18,22.0215
5100,22.4234,150.0,150.0,200.0,16.0,0.18,22.0419
5160,22.4147,150.0,150.0,200.0,16.0,0.18,22.0563
5220,22.406,150.0,150.0,200.0,16.0,0.18,22.0109
5280,22.3975,150.0,150.0,200.0,16.0,0.18,22.0103
5340,22.389,150.0,150.0,200.0,16.0,0.18,21.9985
5400,22.3806,150.0,150.0,200.0,16.0,0.18,22.0171
5460,22.3723,150.0,150.0,200.0,16.0,0.18,22.0025
5520,22.3641,150.0,150.0,200.0,16.0,0.18,21.975
5580,22.356,150.0,150.0,200.0,16.0,0.18,21.9276
5640,22.3479,150.0,150.0,200.0,16.0,0.18,21.9762
5700,22.34,150.0,150.0,200.0,16.0,0.18,21.9517
5760,22.3321,150.0,150.0,200.0,16.0,0.18,21.9683
5820,22.3243,150.0,150.0,200.0,16.0,0.18,21.9218
5880,22.3166,150.0,150.0,200.0,16.0,0.18,21.9726
5940,22.309,150.0,150.0,200.0,16.0,0.18,21.8945
6000,22.3015,150.0,150.0,200.0,16.0,0.18,21.9444
6060,22.2941,150.0,150.0,200.0,16.0,0.18,21.8914
6120,22.2868,150.0,150.0,200.0,16.0,0.18,21.8638
6180,22.2796,150.0,150.0,200.0,16.0,0.18,21.8369
6240,22.2724,150.0,150.0,200.0,16.0,0.18,21.8576
6300,22.2653,150.0,150.0,200.0,16.0,0.18,21.8963
6360,22.2584,150.0,150.0,200.0,16.0,0.18,21.8695
6420,22.2515,150.0,150.0,200.0,16.0,0.18,21.8572
6480,22.2447,150.0,150.0,200.0,16.0,0.18,21.7568
6540,22.238,150.0,150.0,200.0,16.0,0.18,21.8409
6600,22.2314,150.0,150.0,200.0,16.0,0.18,21.8278
6660,22.2249,150.0,150.0,200.0,16.0,0.18,21.7862
6720,22.2185,150.0,150.0,200.0,16.0,0.18,21.7755
6780,22.2121,150.0,150.0,200.0,16.0,0.18,21.7859
6840,22.2059,150.0,150.0,200.0,16.0,0.18,21.8294
6900,22.1998,150.0,150.0,200.0,16.0,0.18,21.7377
6960,22.1937,150.0,150.0,200.0,16.0,0.18,21.7482
7020,22.1877,150.0,150.0,200.0,16.0,0.18,21.7937
7080,22.1818,150.0,150.0,200.0,16.0,0.18,21.7312
7140,22.1761,150.0,150.0,200.0,16.0,0.18,21.7255
7200,22.1704,150.0,150.0,200.0,16.0,0.18,21.7311
7260,22.1648,150.0,150.0,200.0,16.0,0.18,21.6828
7320,22.1593,150.0,150.0,200.0,16.0,0.18,21.7185
7380,22.1538,150.0,150.0,200.0,16.0,0.18,21.6675
7440,22.1485,150.0,150.0,200.0,16.0,0.18,21.7223
7500,22.1433,150.0,150.0,200.0,16.0,0.18,21.6878
7560,22.1382,150.0,150.0,200.0,16.0,0.18,21.7482
7620,22.1331,150.0,150.0,200.0,16.0,0.18,21.6801
7680,22.1281,150.0,150.0,200.0,16.0,0.18,21.7047
7740,22.1233,150.0,150.0,200.0,16.0,0.18,21.6167
7800,22.1185,150.0,150.0,200.0,16.0,0.18,21.6442
7860,22.1138,150.0,150.0,200.0,16.0,0.18,21.6497
7920,22.1093,150.0,150.0,200.0,16.0,0.18,21.6845
7980,22.1048,150.0,150.0,200.0,16.0,0.18,21.5739
8040,22.1004,150.0,150.0,200.0,16.0,0.18,21.6462
8100,22.0961,150.0,150.0,200.0,16.0,0.18,21.6264
8160,22.0919,150.0,150.0,200.0,16.0,0.18,21.647
8220,22.0877,150.0,150.0,200.0,16.0,0.18,21.6146
8280,22.0837,150.0,150.0,200.0,16.0,0.18,21.5871
8340,22.0798,150.0,150.0,200.0,16.0,0.18,21.5622
8400,22.076,150.0,150.0,200.0,16.0,0.18,21.5328
8460,22.0722,150.0,150.0,200.0,16.0,0.18,21.5684
8520,22.0686,150.0,150.0,200.0,16.0,0.18,21.5492
8580,22.065,150.0,150.0,200.0,16.0,0.18,21.608
8640,22.0616,150.0,150.0,200.0,16.0,0.18,21.5215
8700,22.0582,150.0,150.0,200.0,16.0,0.18,21.542
8760,22.0549,150.0,150.0,200.0,16.0,0.18,21.4778
8820,22.0517,150.0,150.0,200.0,16.0,0.18,21.5056
8880,22.0487,150.0,150.0,200.0,16.0,0.18,21.5178
8940,22.0457,150.0,150.0,200.0,16.0,0.18,21.5273
9000,22.0428,150.0,150.0,200.0,16.0,0.18,21.5387
9060,22.04,150.0,150.0,200.0,16.0,0.18,21.4865
9120,22.0373,150.0,150.0,200.0,16.0,0.18,21.447
9180,22.0347,150.0,150.0,200.0,16.0,0.18,21.487
9240,22.0321,150.0,150.0,200.0,16.0,0.18,21.4815
9300,22.0297,150.0,150.0,200.0,16.0,0.18,21.4735
9360,22.0274,150.0,150.0,200.0,16.0,0.18,21.4305
9420,22.0252,150.0,150.0,200.0,16.0,0.18,21.4784
9480,22.023,150.0,150.0,200.0,16.0,0.18,21.4398
9540,22.021,150.0,150.0,200.0,16.0,0.18,21.4511
9600,22.019,150.0,150.0,200.0,16.0,0.18,21.4612
9660,22.0172,150.0,150.0,200.0,16.0,0.18,21.4342
9720,22.0154,150.0,150.0,200.0,16.0,0.18,21.4174
9780,22.0137,150.0,150.0,200.0,16.0,0.18,21.4664
9840,22.0122,150.0,150.0,200.0,16.0,0.18,21.4022
9900,22.0107,150.0,150.0,200.0,16.0,0.18,21.379
9960,22.0093,150.0,150.0,200.0,16.0,0.18,21.3843
10020,22.008,150.0,150.0,200.0,16.0,0.18,21.4185
10080,22.0069,150.0,150.0,200.0,16.0,0.18,21.3707
